ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01242,38340,LENOX DALE,MA,0.000000000,0.000000000,1.000000000,1.000000000
01243,11200,MIDDLEFIELD,MA,0.000000000,1.000000000,1.000000000,1.000000000
01244,38340,MILL RIVER,MA,0.000000000,1.000000000,1.000000000,1.000000000
01245,38340,MONTEREY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01247,24640,NORTH ADAMS,MA,0.004396783,0.000000000,0.000000000,0.003758709
01247,38340,NORTH ADAMS,MA,0.995603217,1.000000000,1.000000000,0.996241291
01252,38340,NORTH EGREMONT,MA,0.000000000,0.000000000,1.000000000,1.000000000
01253,38340,OTIS,MA,1.000000000,1.000000000,1.000000000,1.000000000
01254,38340,RICHMOND,MA,1.000000000,1.000000000,1.000000000,1.000000000
01255,38340,SANDISFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01256,38340,SAVOY,MA,1.000000000,1.000000000,1.000000000,1.000000000
01257,38340,SHEFFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
01258,38340,SOUTH EGREMONT,MA,1.000000000,1.000000000,1.000000000,1.000000000
01259,38340,SOUTHFIELD,MA,1.000000000,1.000000000,1.000000000,1.000000000
